"anho","mes","idprovincia","tasa_de_paro"
2000,7,10,NA
2000,7,11,NA
2000,7,12,NA
2000,7,13,NA
2000,7,14,NA
2000,7,15,NA
2000,7,16,NA
2000,7,17,NA
2000,7,18,NA
2000,7,19,NA
2000,7,20,NA
2000,7,21,NA
2000,7,22,NA
2000,7,23,NA
2000,7,24,NA
2000,7,25,NA
2000,7,26,NA
2000,7,27,NA
2000,7,28,NA
2000,7,29,NA
2000,7,30,NA
2000,7,31,NA
2000,7,32,NA
2000,7,33,NA
2000,7,34,NA
2000,7,35,NA
2000,7,36,NA
2000,7,37,NA
2000,7,38,NA
2000,7,39,NA
2000,7,40,NA
2000,7,41,NA
2000,7,42,NA
2000,7,43,NA
2000,7,44,NA
2000,7,45,NA
2000,7,46,NA
2000,7,47,NA
2000,7,48,NA
2000,7,49,NA
2000,7,50,NA
2000,8,1,NA
2000,8,2,NA
2000,8,3,NA
2000,8,4,NA
2000,8,5,NA
2000,8,6,NA
2000,8,7,NA
2000,8,8,NA
2000,8,9,NA
2000,8,10,NA
2000,8,11,NA
2000,8,12,NA
2000,8,13,NA
2000,8,14,NA
2000,8,15,NA
2000,8,16,NA
2000,8,17,NA
2000,8,18,NA
2000,8,19,NA
2000,8,20,NA
2000,8,21,NA
2000,8,22,NA
2000,8,23,NA
2000,8,24,NA
2000,8,25,NA
2000,8,26,NA
2000,8,27,NA
2000,8,28,NA
2000,8,29,NA
2000,8,30,NA
2000,8,31,NA
2000,8,32,NA
2000,8,33,NA
2000,8,34,NA
2000,8,35,NA
2000,8,36,NA
2000,8,37,NA
2000,8,38,NA
2000,8,39,NA
2000,8,40,NA
2000,8,41,NA
2000,8,42,NA
2000,8,43,NA
2000,8,44,NA
2000,8,45,NA
2000,8,46,NA
2000,8,47,NA
2000,8,48,NA
2000,8,49,NA
2000,8,50,NA
2000,9,1,NA
2000,9,2,NA
2000,9,3,NA
2000,9,4,NA
2000,9,5,NA
2000,9,6,NA
2000,9,7,NA
2000,9,8,NA
2000,9,9,NA
2000,9,10,NA
2000,9,11,NA
2000,9,12,NA
2000,9,13,NA
2000,9,14,NA
2000,9,15,NA
2000,9,16,NA
2000,9,17,NA
2000,9,18,NA
2000,9,19,NA
2000,9,20,NA
2000,9,21,NA
2000,9,22,NA
2000,9,23,NA
2000,9,24,NA
2000,9,25,NA
2000,9,26,NA
2000,9,27,NA
2000,9,28,NA
2000,9,29,NA
2000,9,30,NA
2000,9,31,NA
2000,9,32,NA
2000,9,33,NA
2000,9,34,NA
2000,9,35,NA
2000,9,36,NA
2000,9,37,NA
2000,9,38,NA
2000,9,39,NA
2000,9,40,NA
2000,9,41,NA
2000,9,42,NA
2000,9,43,NA
2000,9,44,NA
2000,9,45,NA
2000,9,46,NA
2000,9,47,NA
2000,9,48,NA
2000,9,49,NA
2000,9,50,NA
2000,10,1,NA
2000,10,2,NA
2000,10,3,NA
2000,10,4,NA
2000,10,5,NA
2000,10,6,NA
2000,10,7,NA
2000,10,8,NA
2000,10,9,NA
2000,10,10,NA
2000,10,11,NA
2000,10,12,NA
2000,10,13,NA
2000,10,14,NA
2000,10,15,NA
2000,10,16,NA
2000,10,17,NA
2000,10,18,NA
2000,10,19,NA
2000,10,20,NA
2000,10,21,NA
2000,10,22,NA
2000,10,23,NA
2000,10,24,NA
2000,10,25,NA
2000,10,26,NA
2000,10,27,NA
2000,10,28,NA
2000,10,29,NA
2000,10,30,NA
2000,10,31,NA
2000,10,32,NA
2000,10,33,NA
2000,10,34,NA
2000,10,35,NA
2000,10,36,NA
2000,10,37,NA
2000,10,38,NA
2000,10,39,NA
2000,10,40,NA
2000,10,41,NA
2000,10,42,NA
2000,10,43,NA
2000,10,44,NA
2000,10,45,NA
2000,10,46,NA
2000,10,47,NA
2000,10,48,NA
2000,10,49,NA
2000,10,50,NA
2000,11,1,NA
2000,11,2,NA
2000,11,3,NA
2000,11,4,NA
2000,11,5,NA
2000,11,6,NA
2000,11,7,NA
2000,11,8,NA
2000,11,9,NA
2000,11,10,NA
2000,11,11,NA
2000,11,12,NA
2000,11,13,NA
2000,11,14,NA
2000,11,15,NA
2000,11,16,NA
2000,11,17,NA
2000,11,18,NA
2000,11,19,NA
2000,11,20,NA
2000,11,21,NA
2000,11,22,NA
2000,11,23,NA
2000,11,24,NA
2000,11,25,NA
2000,11,26,NA
2000,11,27,NA
2000,11,28,NA
2000,11,29,NA
2000,11,30,NA
2000,11,31,NA
2000,11,32,NA
2000,11,33,NA
2000,11,34,NA
2000,11,35,NA
2000,11,36,NA
2000,11,37,NA
2000,11,38,NA
2000,11,39,NA
2000,11,40,NA
2000,11,41,NA
2000,11,42,NA
2000,11,43,NA
2000,11,44,NA
2000,11,45,NA
2000,11,46,NA
2000,11,47,NA
2000,11,48,NA
2000,11,49,NA
2000,11,50,NA
2000,12,1,NA
2000,12,2,NA
2000,12,3,NA
2000,12,4,NA
2000,12,5,NA
2000,12,6,NA
2000,12,7,NA
2000,12,8,NA
2000,12,9,NA
2000,12,10,NA
2000,12,11,NA
2000,12,12,NA
2000,12,13,NA
2000,12,14,NA
2000,12,15,NA
2000,12,16,NA
2000,12,17,NA
2000,12,18,NA
2000,12,19,NA
2000,12,20,NA
2000,12,21,NA
2000,12,22,NA
2000,12,23,NA
2000,12,24,NA
2000,12,25,NA
2000,12,26,NA
2000,12,27,NA
2000,12,28,NA
2000,12,29,NA
2000,12,30,NA
2000,12,31,NA
2000,12,32,NA
2000,12,33,NA
2000,12,34,NA
2000,12,35,NA
2000,12,36,NA
2000,12,37,NA
2000,12,38,NA
2000,12,39,NA
2000,12,40,NA
2000,12,41,NA
2000,12,42,NA
2000,12,43,NA
2000,12,44,NA
2000,12,45,NA
2000,12,46,NA
2000,12,47,NA
2000,12,48,NA
2000,12,49,NA
2000,12,50,NA
2001,1,1,NA
2001,1,2,NA
2001,1,3,NA
2001,1,4,NA
2001,1,5,NA
2001,1,6,NA
2001,1,7,NA
2001,1,8,NA
2001,1,9,NA
2001,1,10,NA
2001,1,11,NA
2001,1,12,NA
2001,1,13,NA
2001,1,14,NA
2001,1,15,NA
2001,1,16,NA
2001,1,17,NA
2001,1,18,NA
2001,1,19,NA
2001,1,20,NA
2001,1,21,NA
2001,1,22,NA
2001,1,23,NA
2001,1,24,NA
2001,1,25,NA
2001,1,26,NA
2001,1,27,NA
2001,1,28,NA
2001,1,29,NA
2001,1,30,NA
2001,1,31,NA
2001,1,32,NA
2001,1,33,NA
2001,1,34,NA
2001,1,35,NA
2001,1,36,NA
2001,1,37,NA
2001,1,38,NA
2001,1,39,NA
2001,1,40,NA
2001,1,41,NA
2001,1,42,NA
2001,1,43,NA
2001,1,44,NA
2001,1,45,NA
2001,1,46,NA
2001,1,47,NA
2001,1,48,NA
2001,1,49,NA
2001,1,50,NA
2001,2,1,NA
2001,2,2,NA
2001,2,3,NA
2001,2,4,NA
2001,2,5,NA
2001,2,6,NA
2001,2,7,NA
2001,2,8,NA
2001,2,9,NA
2001,2,10,NA
2001,2,11,NA
2001,2,12,NA
2001,2,13,NA
2001,2,14,NA
2001,2,15,NA
2001,2,16,NA
2001,2,17,NA
2001,2,18,NA
2001,2,19,NA
2001,2,20,NA
2001,2,21,NA
2001,2,22,NA
2001,2,23,NA
2001,2,24,NA
2001,2,25,NA
2001,2,26,NA
2001,2,27,NA
2001,2,28,NA
2001,2,29,NA
2001,2,30,NA
2001,2,31,NA
2001,2,32,NA
2001,2,33,NA
2001,2,34,NA
2001,2,35,NA
2001,2,36,NA
2001,2,37,NA
2001,2,38,NA
2001,2,39,NA
2001,2,40,NA
2001,2,41,NA
2001,2,42,NA
2001,2,43,NA
2001,2,44,NA
2001,2,45,NA
2001,2,46,NA
2001,2,47,NA
2001,2,48,NA
2001,2,49,NA
2001,2,50,NA
2001,3,1,NA
2001,3,2,NA
2001,3,3,NA
2001,3,4,NA
2001,3,5,NA
2001,3,6,NA
2001,3,7,NA
2001,3,8,NA
2001,3,9,NA
2001,3,10,NA
2001,3,11,NA
2001,3,12,NA
2001,3,13,NA
2001,3,14,NA
2001,3,15,NA
2001,3,16,NA
2001,3,17,NA
2001,3,18,NA
2001,3,19,NA
2001,3,20,NA
2001,3,21,NA
2001,3,22,NA
2001,3,23,NA
2001,3,24,NA
2001,3,25,NA
2001,3,26,NA
2001,3,27,NA
2001,3,28,NA
2001,3,29,NA
2001,3,30,NA
2001,3,31,NA
2001,3,32,NA
2001,3,33,NA
2001,3,34,NA
2001,3,35,NA
2001,3,36,NA
2001,3,37,NA
2001,3,38,NA
2001,3,39,NA
2001,3,40,NA
2001,3,41,NA
2001,3,42,NA
2001,3,43,NA
2001,3,44,NA
2001,3,45,NA
2001,3,46,NA
2001,3,47,NA
2001,3,48,NA
2001,3,49,NA
2001,3,50,NA
2001,4,1,NA
2001,4,2,NA
2001,4,3,NA
2001,4,4,NA
2001,4,5,NA
2001,4,6,NA
2001,4,7,NA
2001,4,8,NA
2001,4,9,NA
2001,4,10,NA
2001,4,11,NA
2001,4,12,NA
2001,4,13,NA
2001,4,14,NA
2001,4,15,NA
2001,4,16,NA
2001,4,17,NA
2001,4,18,NA
2001,4,19,NA
2001,4,20,NA
2001,4,21,NA
2001,4,22,NA
2001,4,23,NA
2001,4,24,NA
2001,4,25,NA
2001,4,26,NA
2001,4,27,NA
2001,4,28,NA
2001,4,29,NA
2001,4,30,NA
2001,4,31,NA
2001,4,32,NA
2001,4,33,NA
2001,4,34,NA
2001,4,35,NA
2001,4,36,NA
2001,4,37,NA
2001,4,38,NA
2001,4,39,NA
2001,4,40,NA
2001,4,41,NA
2001,4,42,NA
2001,4,43,NA
2001,4,44,NA
2001,4,45,NA
2001,4,46,NA
2001,4,47,NA
2001,4,48,NA
2001,4,49,NA
2001,4,50,NA
2001,5,1,NA
2001,5,2,NA
2001,5,3,NA
2001,5,4,NA
2001,5,5,NA
2001,5,6,NA
2001,5,7,NA
2001,5,8,NA
2001,5,9,NA
2001,5,10,NA
2001,5,11,NA
2001,5,12,NA
2001,5,13,NA
2001,5,14,NA
2001,5,15,NA
2001,5,16,NA
2001,5,17,NA
2001,5,18,NA
2001,5,19,NA
2001,5,20,NA
2001,5,21,NA
2001,5,22,NA
2001,5,23,NA
2001,5,24,NA
2001,5,25,NA
2001,5,26,NA
2001,5,27,NA
2001,5,28,NA
2001,5,29,NA
2001,5,30,NA
2001,5,31,NA
2001,5,32,NA
2001,5,33,NA
2001,5,34,NA
2001,5,35,NA
2001,5,36,NA
2001,5,37,NA
2001,5,38,NA
2001,5,39,NA
2001,5,40,NA
2001,5,41,NA
2001,5,42,NA
2001,5,43,NA
2001,5,44,NA
2001,5,45,NA
2001,5,46,NA
2001,5,47,NA
2001,5,48,NA
2001,5,49,NA
2001,5,50,NA
2001,6,1,NA
2001,6,2,NA
2001,6,3,NA
2001,6,4,NA
2001,6,5,NA
2001,6,6,NA
2001,6,7,NA
2001,6,8,NA
2001,6,9,NA
2001,6,10,NA
2001,6,11,NA
2001,6,12,NA
2001,6,13,NA
2001,6,14,NA
2001,6,15,NA
2001,6,16,NA
2001,6,17,NA
2001,6,18,NA
2001,6,19,NA
2001,6,20,NA
2001,6,21,NA
2001,6,22,NA
2001,6,23,NA
2001,6,24,NA
2001,6,25,NA
2001,6,26,NA
2001,6,27,NA
2001,6,28,NA
2001,6,29,NA
2001,6,30,NA
2001,6,31,NA
2001,6,32,NA
2001,6,33,NA
2001,6,34,NA
2001,6,35,NA
2001,6,36,NA
2001,6,37,NA
2001,6,38,NA
2001,6,39,NA
2001,6,40,NA
2001,6,41,NA
2001,6,42,NA
2001,6,43,NA
2001,6,44,NA
2001,6,45,NA
2001,6,46,NA
2001,6,47,NA
2001,6,48,NA
2001,6,49,NA
2001,6,50,NA
2001,7,1,NA
2001,7,2,NA
2001,7,3,NA
2001,7,4,NA
2001,7,5,NA
2001,7,6,NA
2001,7,7,NA
2001,7,8,NA
2001,7,9,NA
2001,7,10,NA
2001,7,11,NA
2001,7,12,NA
2001,7,13,NA
2001,7,14,NA
2001,7,15,NA
2001,7,16,NA
2001,7,17,NA
2001,7,18,NA
2001,7,19,NA
2001,7,20,NA
2001,7,21,NA
2001,7,22,NA
2001,7,23,NA
2001,7,24,NA
2001,7,25,NA
2001,7,26,NA
2001,7,27,NA
2001,7,28,NA
2001,7,29,NA
2001,7,30,NA
2001,7,31,NA
2001,7,32,NA
2001,7,33,NA
2001,7,34,NA
2001,7,35,NA
2001,7,36,NA
2001,7,37,NA
2001,7,38,NA
2001,7,39,NA
2001,7,40,NA
2001,7,41,NA
2001,7,42,NA
2001,7,43,NA
2001,7,44,NA
2001,7,45,NA
2001,7,46,NA
2001,7,47,NA
2001,7,48,NA
2001,7,49,NA
2001,7,50,NA
2001,8,1,NA
2001,8,2,NA
2001,8,3,NA
2001,8,4,NA
2001,8,5,NA
2001,8,6,NA
2001,8,7,NA
2001,8,8,NA
2001,8,9,NA
2001,8,10,NA
2001,8,11,NA
2001,8,12,NA
2001,8,13,NA
2001,8,14,NA
2001,8,15,NA
2001,8,16,NA
2001,8,17,NA
2001,8,18,NA
2001,8,19,NA
2001,8,20,NA
2001,8,21,NA
2001,8,22,NA
2001,8,23,NA
2001,8,24,NA
2001,8,25,NA
2001,8,26,NA
2001,8,27,NA
2001,8,28,NA
2001,8,29,NA
2001,8,30,NA
2001,8,31,NA
2001,8,32,NA
2001,8,33,NA
2001,8,34,NA
2001,8,35,NA
2001,8,36,NA
2001,8,37,NA
2001,8,38,NA
2001,8,39,NA
2001,8,40,NA
2001,8,41,NA
2001,8,42,NA
2001,8,43,NA
2001,8,44,NA
2001,8,45,NA
2001,8,46,NA
2001,8,47,NA
2001,8,48,NA
2001,8,49,NA
2001,8,50,NA
2001,9,1,NA
2001,9,2,NA
2001,9,3,NA
2001,9,4,NA
2001,9,5,NA
2001,9,6,NA
2001,9,7,NA
2001,9,8,NA
2001,9,9,NA
2001,9,10,NA
2001,9,11,NA
2001,9,12,NA
2001,9,13,NA
2001,9,14,NA
2001,9,15,NA
2001,9,16,NA
2001,9,17,NA
2001,9,18,NA
2001,9,19,NA
2001,9,20,NA
2001,9,21,NA
2001,9,22,NA
2001,9,23,NA
2001,9,24,NA
2001,9,25,NA
2001,9,26,NA
2001,9,27,NA
2001,9,28,NA
2001,9,29,NA
2001,9,30,NA
2001,9,31,NA
2001,9,32,NA
2001,9,33,NA
2001,9,34,NA
2001,9,35,NA
2001,9,36,NA
2001,9,37,NA
2001,9,38,NA
2001,9,39,NA
2001,9,40,NA
2001,9,41,NA
2001,9,42,NA
2001,9,43,NA
2001,9,44,NA
2001,9,45,NA
2001,9,46,NA
2001,9,47,NA
2001,9,48,NA
2001,9,49,NA
2001,9,50,NA
2001,10,1,NA
2001,10,2,NA
2001,10,3,NA
2001,10,4,NA
2001,10,5,NA
2001,10,6,NA
2001,10,7,NA
2001,10,8,NA
2001,10,9,NA
2001,10,10,NA
2001,10,11,NA
2001,10,12,NA
2001,10,13,NA
2001,10,14,NA
2001,10,15,NA
2001,10,16,NA
2001,10,17,NA
2001,10,18,NA
2001,10,19,NA
2001,10,20,NA
2001,10,21,NA
2001,10,22,NA
2001,10,23,NA
2001,10,24,NA
2001,10,25,NA
2001,10,26,NA
2001,10,27,NA
2001,10,28,NA
2001,10,29,NA
2001,10,30,NA
2001,10,31,NA
2001,10,32,NA
2001,10,33,NA
2001,10,34,NA
2001,10,35,NA
2001,10,36,NA
2001,10,37,NA
2001,10,38,NA
2001,10,39,NA
2001,10,40,NA
2001,10,41,NA
2001,10,42,NA
2001,10,43,NA
2001,10,44,NA
2001,10,45,NA
2001,10,46,NA
2001,10,47,NA
2001,10,48,NA
2001,10,49,NA
2001,10,50,NA
2001,11,1,NA
2001,11,2,NA
2001,11,3,NA
2001,11,4,NA
2001,11,5,NA
2001,11,6,NA
2001,11,7,NA
2001,11,8,NA
2001,11,9,NA
2001,11,10,NA
2001,11,11,NA
2001,11,12,NA
2001,11,13,NA
2001,11,14,NA
2001,11,15,NA
2001,11,16,NA
2001,11,17,NA
2001,11,18,NA
2001,11,19,NA
2001,11,20,NA
2001,11,21,NA
2001,11,22,NA
2001,11,23,NA
2001,11,24,NA
2001,11,25,NA
2001,11,26,NA
2001,11,27,NA
2001,11,28,NA
2001,11,29,NA
2001,11,30,NA
2001,11,31,NA
2001,11,32,NA
2001,11,33,NA
2001,11,34,NA
2001,11,35,NA
2001,11,36,NA
2001,11,37,NA
2001,11,38,NA
2001,11,39,NA
2001,11,40,NA
2001,11,41,NA
2001,11,42,NA
2001,11,43,NA
2001,11,44,NA
2001,11,45,NA
2001,11,46,NA
2001,11,47,NA
2001,11,48,NA
2001,11,49,NA
2001,11,50,NA
2001,12,1,NA
2001,12,2,NA
2001,12,3,NA
2001,12,4,NA
2001,12,5,NA
2001,12,6,NA
2001,12,7,NA
2001,12,8,NA
2001,12,9,NA
2001,12,10,NA
2001,12,11,NA
2001,12,12,NA
2001,12,13,NA
2001,12,14,NA
2001,12,15,NA
2001,12,16,NA
2001,12,17,NA
2001,12,18,NA
2001,12,19,NA
2001,12,20,NA
2001,12,21,NA
2001,12,22,NA
2001,12,23,NA
2001,12,24,NA
2001,12,25,NA
2001,12,26,NA
2001,12,27,NA
2001,12,28,NA
2001,12,29,NA
2001,12,30,NA
2001,12,31,NA
2001,12,32,NA
2001,12,33,NA
2001,12,34,NA
2001,12,35,NA
2001,12,36,NA
2001,12,37,NA
2001,12,38,NA
2001,12,39,NA
2001,12,40,NA
2001,12,41,NA
2001,12,42,NA
2001,12,43,NA
2001,12,44,NA
2001,12,45,NA
2001,12,46,NA
2001,12,47,NA
2001,12,48,NA
2001,12,49,NA
2001,12,50,NA
2002,1,1,7.96398891966759
2002,1,2,6.57627118644067
2002,1,3,9.99851212617171
2002,1,4,10.9448818897638
2002,1,5,9.75609756097561
2002,1,6,20.7924528301887
2002,1,7,8.95702559150168
2002,1,8,11.1198705447907
2002,1,9,5.73613766730401
2002,1,10,18.2096873083998
2002,1,11,27.8467691012418
2002,1,12,5.57222460351479
2002,1,13,11.36
2002,1,14,19.0822053482998
2002,1,15,14.5231664242676
2002,1,16,7.4424898511502
2002,1,17,10.2384291725105
2002,1,18,20.9126624357812
2002,1,19,9.62566844919786
2002,1,20,7.14508580343213
2002,1,21,17.2813487881981
2002,1,22,5.26918671248568
2002,1,23,12.8295946477765
2002,1,24,11.6557734204793
2002,1,25,6.65456745311555
2002,1,26,7.09677419354839
2002,1,27,9.68152866242037
2002,1,28,7.49343492251359
2002,1,29,14.8739343370216
2002,1,30,12.1488507843853
2002,1,31,6.03873908089632
2002,1,32,9.71599402092677
2002,1,33,9.13793103448276
2002,1,34,8.2942097026604
2002,1,35,10.1145038167939
2002,1,36,14.6868787276342
2002,1,37,13.5558583106267
2002,1,38,11.0498687664042
2002,1,39,9.51760104302477
2002,1,40,8.50393700787401
2002,1,41,20.6129965798474
2002,1,42,5.25
2002,1,43,10.5847762169226
2002,1,44,4.89236790606654
2002,1,45,11.0919292188174
2002,1,46,11.0767210654661
2002,1,47,14.7668393782383
2002,1,48,11.4814101329224
2002,1,49,10.1156069364162
2002,1,50,5.5019556714472
2002,2,1,7.96398891966759
2002,2,2,6.57627118644067
2002,2,3,9.99851212617171
2002,2,4,10.9448818897638
2002,2,5,9.75609756097561
2002,2,6,20.7924528301887
2002,2,7,8.95702559150168
2002,2,8,11.1198705447907
2002,2,9,5.73613766730401
2002,2,10,18.2096873083998
2002,2,11,27.8467691012418
2002,2,12,5.57222460351479
2002,2,13,11.36
2002,2,14,19.0822053482998
2002,2,15,14.5231664242676
2002,2,16,7.4424898511502
2002,2,17,10.2384291725105
2002,2,18,20.9126624357812
2002,2,19,9.62566844919786
2002,2,20,7.14508580343213
2002,2,21,17.2813487881981
2002,2,22,5.26918671248568
2002,2,23,12.8295946477765
2002,2,24,11.6557734204793
2002,2,25,6.65456745311555
2002,2,26,7.09677419354839
2002,2,27,9.68152866242037
2002,2,28,7.49343492251359
2002,2,29,14.8739343370216
2002,2,30,12.1488507843853
2002,2,31,6.03873908089632
2002,2,32,9.71599402092677
2002,2,33,9.13793103448276
2002,2,34,8.2942097026604
2002,2,35,10.1145038167939
2002,2,36,14.6868787276342
2002,2,37,13.5558583106267
2002,2,38,11.0498687664042
2002,2,39,9.51760104302477
2002,2,40,8.50393700787401
2002,2,41,20.6129965798474
2002,2,42,5.25
2002,2,43,10.5847762169226
2002,2,44,4.89236790606654
2002,2,45,11.0919292188174
2002,2,46,11.0767210654661
2002,2,47,14.7668393782383
2002,2,48,11.4814101329224
2002,2,49,10.1156069364162
2002,2,50,5.5019556714472
2002,3,1,7.96398891966759
2002,3,2,6.57627118644067
2002,3,3,9.99851212617171
2002,3,4,10.9448818897638
2002,3,5,9.75609756097561
2002,3,6,20.7924528301887
2002,3,7,8.95702559150168
2002,3,8,11.1198705447907
2002,3,9,5.73613766730401
2002,3,10,18.2096873083998
2002,3,11,27.8467691012418
2002,3,12,5.57222460351479
2002,3,13,11.36
2002,3,14,19.0822053482998
2002,3,15,14.5231664242676
2002,3,16,7.4424898511502
2002,3,17,10.2384291725105
2002,3,18,20.9126624357812
2002,3,19,9.62566844919786
2002,3,20,7.14508580343213
2002,3,21,17.2813487881981
2002,3,22,5.26918671248568
2002,3,23,12.8295946477765
2002,3,24,11.6557734204793
2002,3,25,6.65456745311555
2002,3,26,7.09677419354839
2002,3,27,9.68152866242037
2002,3,28,7.49343492251359
2002,3,29,14.8739343370216
2002,3,30,12.1488507843853
2002,3,31,6.03873908089632
